"Company","Model","AIC","BIC","Shibata","HannanQuinn","Convergence"
"EDP","sGARCH(1,1)-norm",3.6903,3.7493,3.6897,3.7141,0
"EDP","sGARCH(1,1)-std",3.4734,3.5473,3.4726,3.5032,0
"EDP","sGARCH(1,2)-std",3.4813,3.5699,3.48,3.517,0
"EDP","sGARCH(2,1)-std",3.4812,3.5698,3.4799,3.5169,0
"EDP","sGARCH(2,2)-std",3.4897,3.5931,3.488,3.5314,0
"EDP","gjrGARCH(1,1)-std",3.482,3.5706,3.4807,3.5177,0
"EDP","eGARCH(1,1)-std",3.4892,3.5778,3.488,3.5249,0
"EDP","AR(1)-sGARCH(1,1)-std",3.4708,3.5594,3.4695,3.5065,0
"EDP","MA(1)-sGARCH(1,1)-std",3.4716,3.5602,3.4704,3.5074,0
"EDP","ARMA(1,1)-sGARCH(1,1)-std",3.4789,3.5823,3.4772,3.5206,0
"EDP","sGARCH(1,1)-norm",3.6903,3.7493,3.6897,3.7141,0
"EDP","sGARCH(1,1)-std",3.4734,3.5473,3.4726,3.5032,0
"EDP","sGARCH(1,2)-std",3.4813,3.5699,3.48,3.517,0
"EDP","sGARCH(2,1)-std",3.4812,3.5698,3.4799,3.5169,0
"EDP","sGARCH(2,2)-std",3.4897,3.5931,3.488,3.5314,0
"EDP","gjrGARCH(1,1)-std",3.482,3.5706,3.4807,3.5177,0
"EDP","eGARCH(1,1)-std",3.4892,3.5778,3.488,3.5249,0
"EDP","AR(1)-sGARCH(1,1)-std",3.4708,3.5594,3.4695,3.5065,0
"EDP","MA(1)-sGARCH(1,1)-std",3.4716,3.5602,3.4704,3.5074,0
"EDP","ARMA(1,1)-sGARCH(1,1)-std",3.4789,3.5823,3.4772,3.5206,0
"GALP","sGARCH(1,1)-norm",4.2964,4.3555,4.2958,4.3202,0
"GALP","sGARCH(1,1)-std",3.8608,3.9346,3.8599,3.8905,0
"GALP","sGARCH(1,2)-std",3.8693,3.9579,3.868,3.905,0
"GALP","sGARCH(2,1)-std",3.8693,3.9579,3.868,3.905,0
"GALP","sGARCH(2,2)-std",3.8767,3.9801,3.875,3.9184,0
"GALP","gjrGARCH(1,1)-std",3.8674,3.956,3.8661,3.9031,0
"GALP","eGARCH(1,1)-std",3.8481,3.9367,3.8468,3.8838,0
"GALP","AR(1)-sGARCH(1,1)-std",3.8673,3.9559,3.866,3.903,0
"GALP","MA(1)-sGARCH(1,1)-std",3.8675,3.9561,3.8662,3.9032,0
"GALP","ARMA(1,1)-sGARCH(1,1)-std",3.8733,3.9767,3.8716,3.915,0
"MOTA","sGARCH(1,1)-norm",4.9997,5.0588,4.9992,5.0235,0
"MOTA","sGARCH(1,1)-std",4.8809,4.9548,4.8801,4.9107,0
"MOTA","sGARCH(1,2)-std",4.8892,4.9778,4.8879,4.9249,0
"MOTA","sGARCH(2,1)-std",4.926,5.0146,4.9247,4.9617,0
"MOTA","sGARCH(2,2)-std",4.8958,4.9992,4.8941,4.9375,0
"MOTA","gjrGARCH(1,1)-std",4.9283,5.0169,4.9271,4.964,0
"MOTA","eGARCH(1,1)-std",4.8831,4.9717,4.8818,4.9188,0
"MOTA","AR(1)-sGARCH(1,1)-std",4.9295,5.0181,4.9283,4.9653,0
"MOTA","MA(1)-sGARCH(1,1)-std",4.9296,5.0182,4.9283,4.9653,0
"MOTA","ARMA(1,1)-sGARCH(1,1)-std",4.9375,5.0409,4.9358,4.9792,0
"NAVIGATOR","sGARCH(1,1)-norm",3.0891,3.1482,3.0886,3.113,0
"NAVIGATOR","sGARCH(1,1)-std",3.0066,3.0804,3.0057,3.0364,0
"NAVIGATOR","sGARCH(1,2)-std",3.0151,3.1037,3.0139,3.0509,0
"NAVIGATOR","sGARCH(2,1)-std",3.0151,3.1037,3.0139,3.0509,0
"NAVIGATOR","sGARCH(2,2)-std",3.0237,3.127,3.022,3.0654,0
"NAVIGATOR","gjrGARCH(1,1)-std",3.0033,3.0919,3.002,3.039,0
"NAVIGATOR","eGARCH(1,1)-std",2.9661,3.0547,2.9648,3.0018,0
"NAVIGATOR","AR(1)-sGARCH(1,1)-std",3.0132,3.1018,3.0119,3.0489,0
"NAVIGATOR","MA(1)-sGARCH(1,1)-std",3.013,3.1016,3.0118,3.0488,0
"NAVIGATOR","ARMA(1,1)-sGARCH(1,1)-std",3.0207,3.1241,3.019,3.0624,0
